Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-June-2020,1728.00,1738.90,1715.00,1723.15,1723.158931334846524510,670107,24679,1154700862.00,288690,43.08,23.90,-4.85
26-June-2020,1730.35,1751.50,1717.20,1742.60,1735.044966062123423848,1385178,38748,2403346116.00,402954,29.09,34.30,12.25
25-June-2020,1729.00,1749.00,1713.85,1717.95,1730.230558903364662716,654657,22821,1132707547.00,176149,26.91,35.15,-11.05
24-June-2020,1739.80,1772.00,1712.60,1727.35,1742.330689676490589700,1358724,39757,2367346524.00,188266,13.86,59.40,-12.45
23-June-2020,1754.00,1764.15,1715.80,1720.05,1732.501243785689113421,1353529,42809,2344990676.00,246692,18.23,48.35,-33.95
22-June-2020,1775.05,1804.10,1734.85,1747.20,1772.519036916152142150,2036832,65327,3610323495.00,283151,13.90,69.25,-27.85
19-June-2020,1674.70,1788.60,1660.60,1759.50,1714.816366618816047083,2929255,91477,5023134416.00,1015358,34.66,128.00,84.80
18-June-2020,1605.55,1665.00,1605.55,1656.25,1638.078191337758768110,1013987,40623,1660989991.00,390706,38.53,59.45,50.70
17-June-2020,1608.00,1634.95,1602.00,1615.40,1614.857626190171501440,890838,24804,1438576538.00,308685,34.65,32.95,7.40
16-June-2020,1641.50,1647.85,1585.15,1617.50,1617.347403926629502336,1267703,54561,2050316156.00,261683,20.64,62.70,-24.00
15-June-2020,1577.00,1626.70,1561.55,1615.00,1594.792952727918962146,1125400,44253,1794779989.00,192008,17.06,65.15,38.00
12-June-2020,1495.00,1593.00,1495.00,1588.80,1551.604175650284432669,772239,29168,1198209257.00,129587,16.78,98.00,93.80
11-June-2020,1569.00,1569.00,1530.95,1537.50,1546.550663322353510017,330910,16229,511769080.00,94120,28.44,38.05,-31.50
10-June-2020,1541.10,1579.00,1540.60,1572.00,1558.718947086295186795,421611,18078,657173054.00,83326,19.76,38.40,30.90
9-June-2020,1580.00,1582.35,1533.05,1537.10,1555.926913366915427815,504634,21273,785173622.00,100603,19.94,49.30,-42.90
8-June-2020,1624.00,1624.00,1565.05,1570.05,1586.697901865208554418,1111940,30116,1764312865.00,173493,15.60,58.95,-53.95
5-June-2020,1601.90,1617.70,1574.30,1580.60,1595.635680719799029777,658406,28276,1050576106.00,133745,20.31,43.40,-21.30
4-June-2020,1540.00,1589.00,1540.00,1579.95,1568.842671776991718234,710718,28904,1115004726.00,160643,22.60,49.00,39.95
3-June-2020,1545.00,1559.00,1533.25,1542.45,1543.623706493179282294,444528,20818,686183959.00,126626,28.49,25.75,-2.55
2-June-2020,1521.00,1540.00,1521.00,1536.10,1532.295477242862262573,418550,22789,641342272.00,112699,26.93,19.00,15.10
1-June-2020,1480.00,1539.20,1475.65,1520.45,1515.905038353790982901,1016979,35937,1541643590.00,246355,24.22,63.55,40.45
29-May-2020,1470.70,1471.50,1453.00,1465.20,1461.243705950121984277,590240,20172,862484485.00,251562,42.62,18.50,-5.50
28-May-2020,1455.00,1479.20,1450.55,1472.65,1467.164314860083477838,641847,26500,941695014.00,166443,25.93,28.65,17.65
27-May-2020,1434.00,1454.10,1412.20,1446.95,1431.542519676256069401,627533,26036,898340172.00,174486,27.80,41.90,12.95
26-May-2020,1439.40,1449.00,1416.30,1423.70,1428.983533914631518536,468721,19817,669794591.00,135697,28.95,32.70,-15.70
22-May-2020,1454.80,1458.50,1426.80,1431.60,1441.699194191550404457,579294,23822,835167693.00,108878,18.79,31.70,-23.20
21-May-2020,1438.00,1460.85,1425.35,1440.05,1444.263011722853211124,558823,22685,807087389.00,84382,15.10,35.50,2.05
20-May-2020,1407.30,1445.85,1393.65,1434.65,1426.607356543653730922,907872,31809,1295176874.00,110171,12.14,52.20,27.35
19-May-2020,1461.90,1461.90,1404.00,1408.15,1436.568990739638964911,714335,29316,1026191510.00,139032,19.46,57.90,-53.75
18-May-2020,1471.80,1482.00,1428.00,1440.65,1452.458142427594706193,1308019,44307,1899842847.00,158182,12.09,54.00,-31.15
15-May-2020,1445.70,1467.00,1415.55,1458.90,1441.761956878395902325,953907,37182,1375306823.00,139312,14.60,51.45,13.20
14-May-2020,1472.00,1496.40,1430.05,1435.45,1456.997866713570490794,795955,36568,1159704737.00,130235,16.36,66.35,-36.55
13-May-2020,1534.75,1534.75,1454.00,1496.40,1479.473717353548739658,1489557,51128,2203760432.00,138373,9.29,80.75,-38.35
12-May-2020,1578.00,1578.00,1455.00,1480.25,1539.201219829239260802,2865647,58351,4410807358.00,1600772,55.86,123.00,-97.75
11-May-2020,1582.00,1614.85,1572.00,1576.75,1592.811649259952867301,1066351,37832,1698496295.00,236991,22.22,42.85,-5.25
8-May-2020,1550.00,1579.70,1537.60,1561.80,1560.210696847034905882,1432366,48435,2234792755.00,292323,20.41,42.10,11.80
7-May-2020,1450.00,1513.70,1444.90,1507.25,1484.252368618190947376,991823,37440,1472115637.00,215787,21.76,68.80,57.25
6-May-2020,1462.00,1484.00,1446.00,1461.65,1465.976029258128505664,690133,29037,1011718435.00,101372,14.69,38.00,-0.35
5-May-2020,1451.05,1478.80,1447.00,1461.00,1463.572987998050444742,656560,27479,960923481.00,118929,18.11,31.80,9.95
4-May-2020,1442.00,1464.90,1419.75,1435.40,1443.430778959541587790,978857,36490,1412912322.00,234783,23.99,45.15,-6.60
30-April-2020,1454.00,1494.50,1440.00,1467.05,1469.701517546806229920,1277127,47637,1876995490.00,199937,15.66,54.50,13.05
29-April-2020,1446.00,1453.05,1420.50,1426.20,1436.199798745503268441,642967,25581,923429076.00,119218,18.54,32.55,-19.80
28-April-2020,1451.40,1454.75,1391.95,1428.10,1421.149886903902122703,1301548,49487,1849694793.00,159436,12.25,62.80,-23.30
27-April-2020,1440.00,1474.55,1422.95,1430.30,1449.141426671651773515,1152767,42860,1670522415.00,204866,17.77,51.60,-9.70
24-April-2020,1354.90,1495.00,1348.00,1417.35,1426.941202283134072953,2452068,84839,3498956860.00,298577,12.18,147.00,62.45
23-April-2020,1369.70,1385.85,1354.25,1371.50,1370.967367201901703028,1465213,36634,2008759209.00,169508,11.57,31.60,1.80
22-April-2020,1320.00,1384.70,1300.00,1363.35,1341.800019775246715217,2629550,88016,3528330242.00,430128,16.36,84.70,43.35
21-April-2020,1208.10,1252.55,1164.45,1236.05,1202.750345824264616795,1147259,46201,1379866159.00,160413,13.98,88.10,27.95
20-April-2020,1226.50,1257.00,1202.30,1244.45,1228.703573253774223400,796389,22491,978526010.00,87130,10.94,54.70,17.95
17-April-2020,1220.00,1229.90,1192.70,1225.05,1209.045865113335264270,559314,25002,676236279.00,179303,32.06,37.20,5.05
16-April-2020,1146.60,1187.35,1146.60,1168.70,1173.745875445897740784,592064,30132,694932678.00,104523,17.65,40.75,22.10
15-April-2020,1201.00,1235.95,1142.70,1150.05,1181.958679142365627491,834155,32228,985936742.00,243999,29.25,93.25,-50.95
13-April-2020,1208.00,1215.00,1180.00,1189.25,1192.002910842552122694,445919,20095,531536746.00,92980,20.85,35.00,-18.75
9-April-2020,1211.20,1232.75,1193.25,1219.20,1214.735737379557604276,624780,26394,758942594.00,161511,25.85,39.50,8.00
8-April-2020,1175.00,1228.95,1161.85,1192.15,1197.430552343580982789,1072376,36284,1284095786.00,153505,14.31,67.10,17.15
7-April-2020,1106.00,1213.70,1101.00,1206.40,1163.138040817046638315,1246979,48086,1450408711.00,337352,27.05,112.70,100.40
3-April-2020,1130.00,1131.60,1057.00,1078.20,1074.320205021562284937,1473406,28689,1582909836.00,993332,67.42,74.60,-51.80
1-April-2020,1116.20,1124.95,1044.75,1080.65,1070.040149695121581854,825411,32355,883222910.00,164281,19.90,80.20,-35.55
31-March-2020,1071.00,1129.00,1048.80,1112.45,1080.735063572267421094,2119399,35896,2290508813.00,1369324,64.61,80.20,41.45
30-March-2020,1047.95,1074.00,1020.00,1032.35,1036.759974981317217402,1477296,25150,1531601364.00,844719,57.18,54.00,-15.60
27-March-2020,1100.00,1107.70,1047.25,1065.50,1056.746129907763972936,87479375,31357,92443490978.00,86900955,99.34,60.45,-34.50
26-March-2020,1090.00,1117.15,1043.15,1074.75,1076.450867647664976711,921918,37110,992399431.00,215309,23.35,74.00,-15.25
25-March-2020,951.00,1152.00,951.00,1081.25,950.972742969829711200,117608851,60941,111842811633.00,116504604,99.06,201.00,130.25
24-March-2020,943.00,970.40,895.80,943.10,937.645249647984835069,1025524,34135,961577707.00,232532,22.67,74.60,0.10
23-March-2020,920.00,952.00,875.70,883.85,900.073746208647809832,1247576,49632,1122910404.00,545622,43.73,76.30,-36.15
20-March-2020,939.00,1033.70,930.05,1020.20,985.532675762359522462,1779377,57663,1753634176.00,349200,19.62,103.65,81.20
19-March-2020,925.00,967.50,891.00,917.10,921.621039792592932994,1566774,53508,1443971883.00,348844,22.27,76.50,-7.90
18-March-2020,1023.00,1035.10,961.20,968.85,994.833625633787676400,1004674,40856,999483478.00,324555,32.30,73.90,-54.15
17-March-2020,1041.20,1059.00,1004.00,1008.90,1036.273241664386344602,964776,35514,999771553.00,255168,26.45,55.00,-32.30
16-March-2020,1065.65,1079.65,1005.55,1015.25,1046.760338456416800754,901150,36892,943288079.00,307049,34.07,74.10,-50.40
13-March-2020,1005.00,1139.90,939.85,1106.90,1044.217516245793417643,2170408,59185,2266378051.00,895624,41.27,200.05,101.90
12-March-2020,1087.00,1100.70,1049.50,1061.60,1076.136061806868879060,1042732,58021,1122121508.00,346870,33.27,51.20,-25.40
11-March-2020,1113.15,1178.40,1110.00,1153.25,1158.903114199998050723,6053529,37139,7015453610.00,5302033,87.59,68.40,40.10
9-March-2020,1245.00,1245.00,1094.95,1113.15,1140.777435205588998387,1678154,73147,1914400216.00,653572,38.95,150.05,-131.85
6-March-2020,1276.00,1288.35,1241.60,1270.05,1272.378594525032559594,2582956,38958,3286497925.00,2336241,90.45,46.75,-5.95
5-March-2020,1350.00,1358.35,1306.00,1311.50,1325.279479026825879083,424590,21169,562700414.00,143985,33.91,52.35,-38.50
4-March-2020,1350.25,1353.00,1308.10,1339.15,1336.322667674166152274,1691316,16628,2260143909.00,1458142,86.21,44.90,-11.10
3-March-2020,1330.00,1353.35,1321.80,1343.65,1337.442542917148933627,451859,20053,604335450.00,105549,23.36,31.55,13.65
2-March-2020,1358.40,1368.75,1303.50,1314.85,1344.558618448513983320,356961,20892,479954989.00,129857,36.38,65.25,-43.55
28-February-2020,1358.80,1358.80,1325.00,1328.65,1340.972992118332421221,391034,28830,524366033.00,154681,39.56,33.80,-30.15
27-February-2020,1390.00,1393.95,1369.60,1385.80,1380.673069705945184441,346398,13368,478262390.00,81152,23.43,24.35,-4.20
26-February-2020,1412.10,1415.00,1387.25,1391.40,1399.080777660161316774,268292,12775,375362180.00,84981,31.67,27.75,-20.70
25-February-2020,1450.00,1451.40,1410.00,1416.30,1431.183795318849463097,308343,14319,441295505.00,76513,24.81,41.40,-33.70
24-February-2020,1477.00,1477.00,1439.60,1444.85,1464.348836686579688717,400408,18963,586336989.00,226798,56.64,37.40,-32.15
20-February-2020,1498.70,1507.95,1483.45,1485.50,1490.282657393255127503,1511993,11369,2253296946.00,1394070,92.20,24.50,-13.20
19-February-2020,1475.55,1506.50,1475.55,1504.20,1497.650189252127798424,291146,14476,436034862.00,108067,37.12,30.95,28.65
18-February-2020,1479.00,1479.00,1458.00,1466.10,1464.592526066529658937,370782,11133,543044546.00,235047,63.39,21.00,-12.90
17-February-2020,1490.00,1506.00,1474.65,1478.40,1483.914385089425210551,517807,16979,768381256.00,335268,64.75,31.35,-11.60
14-February-2020,1477.85,1501.00,1453.30,1486.65,1482.505467651072465796,714475,21716,1059213094.00,249446,34.91,47.70,8.80
13-February-2020,1479.70,1479.70,1462.70,1473.95,1472.583053522457213466,1202598,9457,1770925435.00,1015578,84.45,17.00,-5.75
12-February-2020,1457.95,1474.00,1456.00,1470.00,1464.291402386208052753,286312,15551,419244200.00,152838,53.38,18.00,12.05
11-February-2020,1445.75,1465.65,1445.05,1452.60,1458.320420376753826985,350733,12419,511481096.00,197932,56.43,20.60,6.85
10-February-2020,1430.00,1445.60,1411.05,1436.75,1423.386184755118747627,218657,8682,311233353.00,80431,36.78,34.55,6.75
7-February-2020,1452.80,1452.80,1428.50,1433.75,1436.753196526424278294,195994,6740,281595006.00,71509,36.49,24.30,-19.05
6-February-2020,1453.00,1466.45,1440.20,1457.65,1451.154443508788576037,337256,10654,489410543.00,113551,33.67,26.25,4.65
5-February-2020,1434.00,1452.30,1430.20,1448.05,1442.076355667956569873,393828,18302,567930047.00,165899,42.12,22.10,14.05
4-February-2020,1398.00,1431.85,1397.90,1425.85,1416.980834280217396717,763029,17425,1081197469.00,504660,66.14,33.95,27.85
3-February-2020,1372.00,1399.00,1363.50,1385.85,1381.281982555548481568,471210,19914,650873883.00,147458,31.29,35.50,13.85
1-February-2020,1406.95,1427.00,1371.10,1383.30,1404.338682544320175955,551047,20491,773856618.00,138610,25.15,55.90,-23.65
31-January-2020,1451.00,1454.25,1407.45,1411.70,1425.534252903637263038,489214,17415,697391314.00,149734,30.61,46.80,-39.30
30-January-2020,1483.95,1483.95,1440.00,1442.50,1452.724400849496619487,297588,16349,432313349.00,110623,37.17,43.95,-41.45
29-January-2020,1476.00,1494.45,1465.00,1479.70,1477.325596774418572205,358385,15942,529451334.00,83495,23.30,29.45,3.70
28-January-2020,1507.05,1510.45,1464.20,1471.35,1485.451143796012512243,379788,18564,564156519.00,151813,39.97,46.25,-35.70
27-January-2020,1515.05,1524.35,1505.00,1506.60,1513.223998908806664673,190617,7729,288446219.00,66229,34.74,19.35,-8.45
24-January-2020,1528.00,1536.45,1518.65,1521.70,1526.629377571598933586,320326,8813,489019082.00,160885,50.23,17.80,-6.30
23-January-2020,1538.40,1541.55,1521.00,1527.00,1528.873586776859504132,196625,9843,300614769.00,70752,35.98,20.55,-11.40
22-January-2020,1540.55,1546.70,1530.90,1533.10,1537.882436253509384307,199109,6986,306206234.00,77833,39.09,15.80,-7.45
21-January-2020,1529.70,1545.95,1523.00,1533.95,1534.881862001111142148,322191,15146,494525122.00,94169,29.23,22.95,4.25
20-January-2020,1608.05,1609.50,1527.00,1532.00,1559.585975594777503469,651336,24647,1015814491.00,234689,36.03,82.50,-76.05
17-January-2020,1551.15,1584.80,1551.15,1580.65,1573.895030586116478280,617437,17615,971781026.00,310736,50.33,33.65,29.50
16-January-2020,1529.05,1543.00,1528.50,1537.70,1533.617940610605912117,387746,10281,594654222.00,242741,62.60,14.50,8.65
15-January-2020,1538.50,1540.45,1519.00,1524.00,1525.358759640697966689,226773,10379,345910182.00,83040,36.62,21.45,-14.50
